dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
   1 1 0.971499000 0.943330000 0.906676000 1.063540000 1.073530000 0.978424000 1.044250000 1.057470000 0.994691000
   2 1 0.930215000 0.863490000 0.817864000 0.912249000 0.871169000 1.043270000 0.924237000 0.907042000 0.765136000
   3 1 0.930215000 0.863490000 0.802179000 0.998259000 0.948038000 0.866887000 0.652490000 0.595264000 0.175466000
   4 1 0.890780000 0.789772000 0.729497000 1.146360000 1.116620000 1.106680000 1.208700000 1.232300000 1.412100000
   5 1 0.865068000 0.743083000 0.663616000 0.830952000 0.810690000 0.740943000 0.909250000 0.897364000 0.805858000
   6 1 0.865068000 0.743083000 0.641775000 0.845526000 0.789551000 0.812037000 0.908816000 0.890827000 0.751763000
   7 1 0.828544000 0.678675000 0.576296000 0.661135000 0.592758000 0.688102000 0.985294000 0.964443000 0.914165000
   8 1 0.828544000 0.678675000 0.565783000 1.227030000 1.182370000 0.916594000 0.908025000 0.893193000 0.854874000
   9 1 0.781068000 0.598414000 0.480774000 0.828534000 0.781716000 0.645127000 1.050210000 1.056600000 0.998074000
  10 1 0.781068000 0.598414000 0.502008000 0.648686000 0.608348000 0.468645000 0.848811000 0.819598000 0.718779000
  11 1 0.770889000 0.581726000 0.511950000 1.016870000 0.973687000 0.694184000 1.068580000 1.072820000 1.095080000
  12 1 0.748282000 0.545340000 0.421023000 0.812941000 0.712116000 0.571040000 0.635244000 0.582518000 0.187687000
  13 1 0.748282000 0.545340000 0.418047000 0.982749000 0.922048000 0.834220000 1.089870000 1.091510000 1.019470000
  14 1 0.696512000 0.465598000 0.389353000 0.721990000 0.632055000 0.607292000 0.701038000 0.653921000 0.494161000
  15 1 0.696512000 0.465598000 0.319580000 0.493915000 0.422324000 0.517916000 0.898835000 0.877335000 0.759395000
  16 1 0.684351000 0.447607000 0.318585000 0.619637000 0.527741000 0.523568000 1.020830000 1.020260000 0.761568000
  17 1 0.684351000 0.447607000 0.344508000 0.936201000 0.853046000 0.628808000 0.899815000 0.864936000 0.596789000
  18 1 0.655846000 0.406573000 0.342923000 0.922542000 0.818855000 0.725212000 0.757237000 0.709754000 0.511154000
  19 1 0.655846000 0.406573000 0.325447000 0.702018000 0.589359000 0.601812000 0.958935000 0.927430000 0.632867000
  20 1 0.629700000 0.370365000 0.270804000 0.961609000 0.860226000 0.712231000 0.842687000 0.808060000 0.627492000
  21 1 0.610820000 0.345087000 0.275802000 0.587692000 0.513763000 0.285323000 0.685540000 0.657810000 0.680623000
  22 1 0.610820000 0.345087000 0.207853000 1.026670000 0.895469000 0.822456000 0.794266000 0.748248000 0.476004000
  23 1 0.581473000 0.307279000 0.226859000 0.659977000 0.570136000 0.456682000 0.984044000 0.959822000 0.783385000
  24 1 0.581473000 0.307279000 0.200444000 0.622860000 0.504129000 0.452961000 0.786287000 0.747950000 0.599728000
  25 1 0.557491000 0.277753000 0.191388000 0.669089000 0.606118000 0.296434000 0.830006000 0.787887000 0.570000000
  26 1 0.557491000 0.277753000 0.193355000 0.721838000 0.611144000 0.515654000 0.793727000 0.758098000 0.598030000
  27 1 0.552677000 0.271977000 0.201541000 0.473512000 0.398699000 0.199306000 0.997662000 0.973585000 0.891946000
  28 1 0.552677000 0.271977000 0.194323000 0.772221000 0.607865000 0.402331000 0.769055000 0.720023000 0.509255000
  29 1 0.519591000 0.233681000 0.151381000 0.699330000 0.543988000 0.453527000 0.949975000 0.932466000 0.685556000
  30 1 0.519591000 0.233681000 0.188066000 0.592399000 0.461921000 0.282085000 0.858862000 0.824906000 0.696300000
  31 1 0.485595000 0.196938000 0.125130000 0.530101000 0.420144000 0.310929000 0.709965000 0.648862000 0.386667000
  32 1 0.478713000 0.189829000 0.134365000 0.402339000 0.310153000 0.150248000 0.778493000 0.729870000 0.485533000
  33 1 0.478713000 0.189829000 0.122249000 0.775965000 0.605473000 0.325522000 0.671685000 0.606390000 0.337273000
  34 1 0.470615000 0.181610000 0.181689000 0.454865000 0.357617000 0.457351000 0.700417000 0.654116000 0.579590000
  35 1 0.470615000 0.181610000 0.169217000 0.699948000 0.532939000 0.356503000 0.969083000 0.948133000 0.570669000
  36 1 0.459209000 0.170301000 0.108582000 0.471664000 0.353444000 0.209249000 0.654620000 0.595451000 0.457851000
  37 1 0.459209000 0.170301000 0.110114000 0.909620000 0.763038000 0.507285000 0.636471000 0.577276000 0.370521000
  38 1 0.428370000 0.141320000 0.126839000 0.356000000 0.275573000 0.177464000 0.604660000 0.534461000 0.283305000
  39 1 0.428370000 0.141320000 0.128846000 0.759802000 0.592795000 0.378206000 0.957238000 0.920061000 0.569872000
  40 1 0.414054000 0.128677000 0.122059000 0.834143000 0.668673000 0.516101000 0.795110000 0.726701000 0.362756000
  41 1 0.414054000 0.128677000 0.114953000 0.344886000 0.240295000 0.132045000 0.736981000 0.678640000 0.418936000
  42 1 0.388482000 0.107403000 0.115594000 0.607248000 0.479626000 0.424287000 0.696775000 0.633068000 0.424704000
  43 1 0.388482000 0.107403000 0.137896000 0.783369000 0.606931000 0.393375000 0.620614000 0.558681000 0.188934000
