dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
   1 1 0.971499000 0.955030000 0.876554000 0.933600000 0.912935000 0.913537000 0.762671000 0.749581000 0.576637000
   2 1 0.941097000 0.907680000 0.812230000 0.908428000 0.913393000 0.853430000 0.598828000 0.534170000 0.121583000
   3 1 0.919439000 0.874349000 0.854193000 0.969178000 0.907198000 0.794597000 0.799637000 0.773438000 0.531122000
   4 1 0.892497000 0.833365000 0.738448000 1.011920000 1.012890000 0.958339000 1.014470000 1.009070000 1.011040000
   5 1 0.890780000 0.830772000 0.675592000 0.552356000 0.515276000 0.405664000 0.920458000 0.908567000 0.753186000
   6 1 0.844961000 0.762392000 0.584456000 1.185160000 1.173500000 1.041600000 1.112610000 1.118900000 1.219910000
   7 1 0.838346000 0.752655000 0.696493000 1.257690000 1.212550000 1.036820000 0.960435000 0.944486000 0.742100000
   8 1 0.828587000 0.738355000 0.551975000 0.748642000 0.687495000 0.580822000 1.084220000 1.083700000 0.857745000
   9 1 0.812393000 0.714792000 0.612545000 1.082080000 1.027140000 1.087180000 0.950435000 0.934255000 0.930754000
  10 1 0.784696000 0.674997000 0.463947000 0.758952000 0.723799000 0.623888000 0.901701000 0.889247000 0.807020000
  11 1 0.770889000 0.655399000 0.444976000 1.106690000 1.016140000 0.790155000 1.190840000 1.204720000 1.256020000
  12 1 0.753012000 0.630272000 0.453355000 0.724655000 0.662411000 0.595678000 0.749299000 0.717812000 0.551649000
  13 1 0.735842000 0.606403000 0.528378000 0.738815000 0.651616000 0.530084000 0.934631000 0.915897000 0.818727000
  14 1 0.716279000 0.579531000 0.350611000 0.743213000 0.652934000 0.269734000 0.714992000 0.670765000 0.269330000
  15 1 0.713409000 0.575619000 0.412795000 0.945232000 0.869668000 0.435932000 0.804571000 0.773463000 0.660746000
  16 1 0.713286000 0.575452000 0.366378000 0.412964000 0.359223000 0.276968000 1.022840000 1.004640000 0.949843000
  17 1 0.677203000 0.526927000 0.325471000 0.798840000 0.684679000 0.404133000 0.842041000 0.809465000 0.554851000
  18 1 0.669830000 0.517167000 0.318766000 1.018770000 0.933322000 0.722927000 0.756327000 0.727496000 0.521684000
  19 1 0.651649000 0.493328000 0.276925000 0.772511000 0.678265000 0.367411000 0.925774000 0.894307000 0.645807000
