dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
   1 1 0.626570000 0.389432000 0.205806000 0.304792000 0.211316000 0.054129200 0.001371740 0.002585360 0.000000000
   2 1 0.002344600 0.117379000 0.064274900 0.712421000 0.656222000 0.588487000 0.001371740 0.002585360 0.000000000
   3 1 0.713701000 0.723541000 0.692803000 0.840295000 0.612229000 0.320681000 1.166900000 1.160810000 1.317360000
   4 1 0.038208900 0.043412700 0.007255840 0.810243000 0.433301000 0.396486000 1.236240000 1.248350000 1.235170000
   5 1 0.386268000 0.450128000 0.369821000 0.339337000 0.407793000 0.376967000 0.915755000 0.905478000 0.554915000
   6 1 1.318330000 1.221820000 1.139260000 0.815050000 0.900411000 0.858720000 0.659561000 0.671749000 0.422488000
   7 1 0.025683400 0.013431200 0.006210170 0.566354000 0.566987000 0.463677000 1.130810000 1.120610000 1.134930000
   8 1 0.027964500 0.050087300 0.017625100 0.161597000 0.010161600 0.051117600 0.694029000 0.654525000 0.498867000
   9 1 1.128210000 1.140520000 0.959871000 0.304149000 0.358839000 0.412970000 0.834799000 0.835955000 0.578649000
  10 1 1.068980000 0.803344000 0.692503000 0.704426000 0.662648000 0.133721000 1.305770000 1.199760000 1.162530000
  11 1 0.574899000 0.405911000 0.396625000 1.064810000 1.036880000 0.542791000 1.027720000 1.048020000 1.092150000
  12 1 0.320737000 0.263936000 0.206960000 0.488387000 0.369035000 0.062955300 0.732127000 0.741857000 0.607616000
  13 1 0.189020000 0.521655000 0.386527000 0.141562000 0.066209300 0.114561000 0.743875000 0.757028000 0.472866000
  14 1 0.696592000 0.580135000 0.438652000 0.985736000 0.922315000 0.462512000 0.949458000 0.954358000 0.829962000
  15 1 0.746057000 0.470487000 0.382813000 1.144900000 1.104030000 0.801644000 0.580382000 0.601491000 0.253751000
  16 1 0.798051000 0.443856000 0.334759000 0.091392600 0.074049900 0.168516000 0.641665000 0.675066000 0.437760000
  17 1 0.753746000 0.560502000 0.422167000 0.396934000 0.350390000 0.103967000 0.459284000 0.475433000 0.036856400
  18 1 0.624345000 0.601422000 0.497643000 0.139531000 0.187747000 0.195048000 0.753170000 0.893549000 0.465061000
  19 1 0.025842400 0.183704000 0.087124200 0.433362000 0.468761000 0.408535000 0.836692000 0.837278000 0.787235000
  20 1 0.078415600 0.242819000 0.207179000 0.665004000 0.685115000 0.565443000 0.659532000 0.674923000 0.137747000
  21 1 1.268840000 1.031950000 0.899194000 1.195210000 1.086560000 0.909018000 0.982676000 0.994124000 0.767755000
  22 1 0.077133100 0.044029700 0.001148530 0.132681000 0.038189500 0.119215000 0.717393000 0.746084000 0.493676000
  23 1 0.249914000 0.201910000 0.154402000 0.416138000 0.320774000 0.320901000 0.504066000 0.380298000 0.096033300
  24 1 0.231975000 0.096189200 0.104250000 1.052800000 0.986235000 0.681746000 1.063330000 1.069640000 0.973854000
  25 1 0.304360000 0.112364000 0.101181000 0.401166000 0.341572000 0.165613000 0.678156000 0.692472000 0.395838000
  26 1 0.185944000 0.141452000 0.088160700 0.179373000 0.272101000 0.297629000 0.443094000 0.680050000 0.493176000
  27 1 0.289791000 0.128673000 0.080249800 0.180477000 0.159380000 0.229059000 1.160600000 1.129030000 0.706894000
  28 1 0.105686000 0.052801600 0.045764600 0.512193000 0.479679000 0.276198000 1.148440000 1.150990000 1.232470000
  29 1 0.704866000 0.466761000 0.377177000 0.345628000 0.248733000 0.068226300 0.512258000 0.599986000 0.348211000
  30 1 0.508846000 0.402071000 0.323348000 0.421107000 0.353884000 0.220394000 0.527731000 0.543013000 0.320633000
  31 1 0.383717000 0.262086000 0.189619000 0.857331000 0.789602000 0.628051000 0.666862000 0.691089000 0.389177000
  32 1 0.410434000 0.297442000 0.234471000 0.041828100 0.056557700 0.071242500 0.511514000 0.524739000 0.148066000
  33 1 0.345778000 0.304356000 0.272362000 0.906218000 0.947319000 1.076980000 0.481907000 0.493482000 0.327530000
  34 1 0.262800000 0.003164550 0.036869500 1.285310000 1.258070000 0.941748000 0.809490000 0.823010000 0.477456000
