dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
   1 1 0.761082000 0.447404000 0.413655000 0.776602000 0.711168000 0.591302000 0.001371740 0.000086908 0.000000000
   2 1 0.224583000 0.334281000 0.353893000 1.192730000 1.253230000 1.216140000 1.154210000 1.122990000 1.172850000
   3 1 0.376284000 0.295148000 0.212763000 0.658227000 0.697187000 0.699378000 1.068960000 1.062140000 0.989745000
   4 1 0.197482000 0.023306100 0.061449900 0.127494000 0.055175600 0.130568000 0.664816000 0.864057000 0.799832000
   5 1 1.181640000 1.169800000 1.019270000 1.210750000 1.089620000 0.879159000 0.801825000 0.813329000 0.485138000
   6 1 0.479991000 0.637660000 0.478594000 0.071995900 0.008816210 0.030645200 1.048050000 0.846893000 0.585896000
   7 1 0.437098000 0.203946000 0.124174000 0.492451000 0.393018000 0.246602000 0.533195000 0.648516000 0.385815000
   8 1 0.003703890 0.075087800 0.077218900 0.086604200 0.071116900 0.185043000 0.811028000 0.942471000 0.960050000
   9 1 1.018750000 0.929405000 0.759117000 0.213916000 0.287730000 0.322850000 0.223197000 0.598245000 0.327965000
  10 1 0.835502000 0.592449000 0.442786000 0.062580000 0.083631600 0.048343300 0.999697000 0.703221000 0.205516000
  11 1 0.254968000 0.064640400 0.027774700 0.482077000 0.370795000 0.291333000 1.387510000 1.025450000 1.038710000
  12 1 0.990260000 0.783715000 0.644149000 0.407208000 0.473201000 0.343081000 0.024896000 0.741783000 0.547898000
  13 1 0.166683000 0.141387000 0.060662200 0.957780000 0.946453000 0.819657000 0.452793000 0.588259000 0.239178000
  14 1 0.404740000 0.174241000 0.101831000 0.310195000 0.236522000 0.171190000 0.371075000 0.650049000 0.017455700
  15 1 0.907029000 0.799487000 0.686104000 0.762606000 0.656323000 0.441021000 0.772463000 0.554225000 0.001239950
  16 1 0.407112000 0.326356000 0.311591000 1.279430000 1.127820000 0.701739000 0.737873000 0.744174000 0.344253000
  17 1 0.171874000 0.242005000 0.223403000 0.064172800 0.091451000 0.025969800 0.855881000 0.747190000 0.377308000
  18 1 0.183146000 0.345152000 0.369535000 0.098003600 0.011788900 0.087337700 0.500389000 0.690574000 0.620240000
  19 1 0.448491000 0.250283000 0.129872000 0.121044000 0.099192900 0.210379000 0.077089800 1.016840000 0.860457000
  20 1 0.358246000 0.301785000 0.249503000 0.719138000 0.682120000 0.515687000 0.826355000 0.757316000 0.188596000
