dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
   1 1 0.002311820 0.055846600 0.001222060 0.055350200 0.018470400 0.012328800 0.000367058 0.034760100 0.029516000
   2 1 0.007658990 0.068989600 0.005012390 0.061010500 0.036818100 0.033084400 0.063642500 0.036768200 0.062484800
   3 1 0.007660770 0.054960300 0.008193490 0.106957000 0.040206100 0.000635335 0.536192000 0.509961000 0.353655000
   4 1 0.008696050 0.025108600 0.008262230 0.021972100 0.037602800 0.001353450 0.612447000 0.596345000 0.328450000
   5 1 0.016987200 0.026487800 0.014789400 0.001767530 0.011979600 0.006340630 0.122917000 0.070151400 0.053662400
   6 1 0.017081000 0.013689800 0.014002600 0.053507200 0.031273100 0.011603000 0.029410700 0.024337000 0.006767030
   7 1 0.014745400 0.018904000 0.010465400 0.157995000 0.084284000 0.042647100 0.055480300 0.058686900 0.010097800
   8 1 0.014743000 0.024957100 0.009261270 0.149481000 0.027251300 0.031888500 0.025052600 0.033293600 0.007538410
   9 1 0.028186900 0.005086740 0.018157300 0.082602400 0.007887270 0.018623800 0.321385000 0.274655000 0.220889000
  10 1 0.028193600 0.002839950 0.018975900 0.015728000 0.032397700 0.008925800 0.011078600 0.019542200 0.014836000
  11 1 0.016929100 0.033799400 0.010447700 0.084312900 0.035393400 0.030506300 0.357602000 0.333930000 0.220111000
  12 1 0.024649400 0.000410093 0.014008300 0.164853000 0.069620300 0.036087900 0.597637000 0.522580000 0.297436000
  13 1 0.024643800 0.014032900 0.014703500 0.044673800 0.017449500 0.003344300 0.412645000 0.386213000 0.234677000
  14 1 0.022408800 0.016180100 0.012714800 0.163876000 0.023151300 0.021152800 0.264502000 0.249198000 0.082298900
  15 1 0.022946200 0.002060290 0.010590000 0.071354400 0.052187600 0.004632640 0.186318000 0.141262000 0.078128700
  16 1 0.038858900 0.021523800 0.017726900 0.105037000 0.012668600 0.036464100 0.116975000 0.027590600 0.047502200
  17 1 0.038935200 0.023785500 0.018701400 0.056690900 0.020672400 0.001139570 0.057243800 0.046460300 0.017324200
  18 1 0.034627800 0.021093300 0.017143700 0.050584800 0.020401300 0.001940190 0.025107300 0.017092100 0.008658660
  19 1 0.034656700 0.022006400 0.017633500 0.092292200 0.073616300 0.052402800 0.036177400 0.019457500 0.018242800
  20 1 0.024711400 0.011151800 0.011056400 0.013899800 0.012449100 0.016599000 0.092885500 0.073410400 0.033109800
  21 1 0.030950400 0.018823900 0.014509600 0.016360000 0.006341580 0.001806600 0.248189000 0.290274000 0.204424000
  22 1 0.030421200 0.018274100 0.010684900 0.017532900 0.006465720 0.010449500 0.028059800 0.009926470 0.030125700
  23 1 0.047522800 0.010359700 0.016712500 0.107028000 0.059549600 0.037009300 0.279591000 0.270094000 0.185340000
  24 1 0.048283400 0.040404300 0.018239200 0.044383900 0.003971230 0.026047100 0.182791000 0.168641000 0.093325900
  25 1 0.043136800 0.008081760 0.015414400 0.077672900 0.012477800 0.004164940 0.135973000 0.081649200 0.037549100
  26 1 0.042797100 0.007573340 0.013535600 0.006417400 0.011009200 0.014429500 0.046714100 0.017070400 0.018848800
  27 1 0.029041800 0.019231000 0.010286000 0.108493000 0.026407100 0.007696360 0.467798000 0.320370000 0.209600000
  28 1 0.028334200 0.018470700 0.009754680 0.155506000 0.048339700 0.038785900 0.054820400 0.050340300 0.004893260
  29 1 0.038217100 0.030459100 0.011343600 0.136801000 0.061097800 0.033727800 0.305018000 0.184847000 0.147952000
  30 1 0.038231500 0.028310100 0.014739600 0.177204000 0.060086400 0.030061100 0.357469000 0.294578000 0.216446000
  31 1 0.029133000 0.017678900 0.008443130 0.028650800 0.018786500 0.016076500 0.005673790 0.000150211 0.004680860
  32 1 0.052618900 0.001696450 0.014551100 0.149627000 0.044130600 0.031950000 0.170153000 0.119424000 0.074235000
  33 1 0.052601600 0.001645270 0.013600600 0.095998800 0.054950800 0.033628700 0.063298300 0.035319200 0.000263649
  34 1 0.033843200 0.002249320 0.013147500 0.034403200 0.037029800 0.006946010 0.061962200 0.068925000 0.017785700
  35 1 0.034561400 0.023046500 0.013177400 0.070266600 0.042975700 0.012749700 0.543381000 0.517077000 0.284422000
  36 1 0.048431400 0.000058942 0.010959600 0.015673200 0.013718200 0.032700000 0.191192000 0.208377000 0.105773000
  37 1 0.048225700 0.000015569 0.012357400 0.035695800 0.003951790 0.004976460 0.110023000 0.086338500 0.042694300
  38 1 0.044610800 0.030361100 0.012218100 0.009866970 0.030706600 0.007663420 0.090358800 0.058742200 0.036247600
  39 1 0.042538000 0.001560430 0.012469400 0.018703300 0.003203240 0.008382440 0.440727000 0.394546000 0.214154000
  40 1 0.030721800 0.002107200 0.007239190 0.006705230 0.001090300 0.010928200 0.030094500 0.060696900 0.020128000
  41 1 0.030908500 0.004907210 0.008920700 0.119085000 0.064086600 0.042338300 0.006607000 0.001309320 0.024582200
  42 1 0.037680100 0.003118830 0.009502850 0.023499800 0.008118740 0.015611000 0.077063800 0.084476500 0.026175000
  43 1 0.037832500 0.000181976 0.012967000 0.002716330 0.012563800 0.006071840 0.421723000 0.373022000 0.258741000
  44 1 0.053556800 0.003257240 0.011531200 0.048964500 0.012479900 0.013024800 0.062243900 0.037962100 0.052687600
  45 1 0.053614800 0.003021890 0.008707840 0.052929300 0.018615600 0.011311200 0.453344000 0.415145000 0.252762000
  46 1 0.049935800 0.003160150 0.012787100 0.048552400 0.017220400 0.029828800 0.314646000 0.274996000 0.175266000
  47 1 0.049681600 0.004196370 0.012062800 0.062834400 0.041780800 0.011477700 0.092719800 0.042293400 0.022076300
  48 1 0.030870100 0.015303200 0.007312900 0.027256400 0.020302900 0.006933820 0.175750000 0.147423000 0.044917800
  49 1 0.032956300 0.000647919 0.010612100 0.083537900 0.030502700 0.022485100 0.031489800 0.035092700 0.036776500
  50 1 0.032893300 0.000330374 0.009518560 0.167801000 0.075101800 0.067605800 0.329652000 0.269591000 0.270223000
  51 1 0.044528000 0.006057530 0.016834300 0.004020030 0.002186320 0.000265913 0.055423500 0.064462400 0.158981000
  52 1 0.044535900 0.002852940 0.017079800 0.200443000 0.059875300 0.055399800 0.177431000 0.137796000 0.192146000
  53 1 0.038644900 0.005521900 0.011048900 0.030469600 0.031615000 0.025865700 0.195796000 0.188173000 0.190973000
  54 1 0.038601400 0.005843350 0.012460400 0.076817100 0.021567100 0.003943650 0.280508000 0.156213000 0.095355900
  55 1 0.050586300 0.004369680 0.011030500 0.017198300 0.013132100 0.010486300 0.060389600 0.057293000 0.008676170
  56 1 0.050552500 0.004529370 0.011546700 0.197664000 0.059444700 0.015662600 0.315790000 0.266561000 0.129455000
  57 1 0.031464900 0.015581200 0.008938460 0.091647500 0.007513590 0.016376600 0.585500000 0.525858000 0.337540000
  58 1 0.030893400 0.007154300 0.004993610 0.194871000 0.044381100 0.050602900 0.026160000 0.052857800 0.031020700
  59 1 0.047406100 0.004519920 0.015124800 0.020541100 0.065955700 0.036387400 0.012685900 0.000879469 0.008837810
  60 1 0.052765800 0.019351000 0.015448600 0.188884000 0.013247700 0.045507700 0.161050000 0.140925000 0.050921300
  61 1 0.036171700 0.015020300 0.006923280 0.036368900 0.021788900 0.001588160 0.214700000 0.171844000 0.042646200
  62 1 0.034429400 0.001427100 0.004599820 0.049452700 0.024727700 0.006565760 0.075838500 0.039601300 0.044198200
  63 1 0.047015200 0.012287000 0.014198200 0.116415000 0.060362400 0.029549300 0.220843000 0.163834000 0.086714600
  64 1 0.042392300 0.006654130 0.012925700 0.071722200 0.055131300 0.018728400 0.456772000 0.452216000 0.408123000
  65 1 0.028907800 0.003040760 0.003038680 0.200178000 0.088318000 0.038051400 0.353672000 0.288651000 0.164859000
  66 1 0.037461600 0.003712060 0.006551970 0.005351760 0.000853310 0.018912400 0.168886000 0.222789000 0.154506000
  67 1 0.037397800 0.005036750 0.002038180 0.027736500 0.007192680 0.031232500 0.201984000 0.186746000 0.130148000
  68 1 0.029537100 0.000951228 0.004601280 0.114933000 0.060713800 0.040758200 0.012322900 0.001568620 0.000443113
  69 1 0.029754900 0.001074380 0.003624040 0.207471000 0.046680800 0.030003800 0.000377922 0.011186800 0.026565400
  70 1 0.044315100 0.003393910 0.012437400 0.008151590 0.023852000 0.003243700 0.125442000 0.071471000 0.033404700
  71 1 0.044286300 0.003420000 0.012212500 0.022464000 0.017488400 0.004335780 0.161278000 0.130551000 0.108761000
  72 1 0.037174300 0.009240160 0.007458520 0.166669000 0.026235500 0.020798300 0.862979000 0.767161000 0.412594000
  73 1 0.032183900 0.004797500 0.000813483 0.028991400 0.013135100 0.001310070 0.109326000 0.112904000 0.032706200
  74 1 0.049043400 0.008178540 0.005834000 0.004594960 0.004815690 0.005102730 0.276183000 0.262855000 0.169048000
  75 1 0.041513400 0.003757710 0.001541930 0.034851500 0.008939190 0.025594600 0.470599000 0.408271000 0.234674000
  76 1 0.037988200 0.002940570 0.006987830 0.041132700 0.056756000 0.020570800 0.013326700 0.051592000 0.022937600
  77 1 0.045293500 0.006640950 0.008952260 0.017685200 0.041828300 0.028349600 0.115697000 0.063777200 0.007020880
  78 1 0.026920000 0.001065780 0.005872660 0.066789200 0.026710300 0.008340810 0.051934400 0.065361900 0.013226200
  79 1 0.027255100 0.001295240 0.002412300 0.019588700 0.011480300 0.023316200 0.146279000 0.115334000 0.057767300
  80 1 0.027930600 0.001565030 0.003284660 0.176974000 0.058997700 0.018587700 0.534654000 0.492909000 0.334780000
  81 1 0.028298100 0.003536400 0.004783680 0.277861000 0.103931000 0.048895900 0.857878000 0.741349000 0.430320000
  82 1 0.033481700 0.003051610 0.002151070 0.123790000 0.025440900 0.052837200 0.185310000 0.142993000 0.123555000
  83 1 0.033872900 0.002805800 0.000140157 0.006703790 0.013498100 0.002136000 0.208980000 0.182925000 0.064202500
  84 1 0.035062000 0.003032320 0.001136170 0.236566000 0.041065300 0.053485600 0.059087200 0.073350300 0.004080920
  85 1 0.029023900 0.001557830 0.004070150 0.127319000 0.032700800 0.047783200 0.076050100 0.039531300 0.110873000
  86 1 0.026775600 0.002720200 0.003136380 0.002854290 0.004735420 0.001412300 0.353997000 0.296369000 0.138767000
  87 1 0.034721300 0.001833780 0.001909800 0.033719100 0.018322100 0.019297700 0.302983000 0.278116000 0.088373500
  88 1 0.037333300 0.000892912 0.001767240 0.034191100 0.026133000 0.013194700 0.026846400 0.001427200 0.005215770
  89 1 0.023543100 0.002499460 0.000266333 0.068723700 0.022383000 0.014144600 0.005746600 0.001489170 0.021546000
  90 1 0.024496100 0.002135010 0.002231280 0.067401100 0.018523600 0.031699000 0.226347000 0.147548000 0.094687500
  91 1 0.034211500 0.001166460 0.008066980 0.102718000 0.031164800 0.014433500 0.102468000 0.095669500 0.012391300
  92 1 0.033838400 0.001274560 0.008424610 0.143546000 0.041567000 0.021900300 0.387792000 0.300728000 0.153665000
  93 1 0.040840000 0.001197040 0.002634440 0.033811400 0.014509500 0.013325800 0.051434200 0.034047000 0.020140500
  94 1 0.031103200 0.000917972 0.001813000 0.183360000 0.067309800 0.048532400 0.175924000 0.128138000 0.019220900
  95 1 0.029851400 0.000686799 0.001319260 0.028943900 0.057538400 0.029404700 0.209256000 0.165177000 0.022628100
  96 1 0.024524200 0.001259420 0.004145070 0.053176300 0.014953500 0.009137740 0.030696900 0.013617600 0.006010690
  97 1 0.028100700 0.000372606 0.000905198 0.159559000 0.035738500 0.044536400 0.194807000 0.149377000 0.095964900
  98 1 0.036837600 0.000565560 0.004691090 0.116577000 0.005009180 0.036196200 0.380779000 0.291097000 0.172424000
  99 1 0.023918100 0.000099297 0.003684270 0.029625800 0.010235700 0.028618300 0.419713000 0.348391000 0.215245000
 100 1 0.021249100 0.000354450 0.003241340 0.098196000 0.016596800 0.016331800 0.385286000 0.276217000 0.115652000
 101 1 0.020552700 0.000278505 0.004005350 0.127520000 0.030202800 0.027333700 0.125737000 0.106504000 0.052459600
 102 1 0.025935300 0.000091973 0.004126310 0.048885100 0.014297500 0.003573070 0.581377000 0.533443000 0.374803000
 103 1 0.023955100 0.000238466 0.001862770 0.058036100 0.027400300 0.032796000 0.062544500 0.075185100 0.075327800
 104 1 0.032296700 0.000200134 0.004503620 0.100001000 0.028726100 0.020693400 0.155358000 0.148071000 0.065309800
 105 1 0.039870300 0.000308796 0.009337270 0.081632100 0.002938780 0.000062199 0.044239200 0.017689000 0.018539000
 106 1 0.039812800 0.000300124 0.009296260 0.165580000 0.012309700 0.003752290 0.194205000 0.143095000 0.044060600
 107 1 0.038186600 0.000393397 0.002780520 0.122918000 0.038715100 0.011771200 0.024041800 0.005848680 0.024090300
 108 1 0.025389000 0.000537635 0.000489904 0.059192300 0.007568300 0.005047020 0.026749700 0.026568100 0.000964294
 109 1 0.029172000 0.001258160 0.000809473 0.151175000 0.019002500 0.034201000 0.133929000 0.162616000 0.094948000
 110 1 0.026903400 0.000609804 0.004345530 0.021866200 0.002058680 0.014910700 0.433325000 0.343606000 0.180068000
 111 1 0.020997900 0.000857132 0.002604300 0.115554000 0.016293000 0.030519700 0.188892000 0.129599000 0.082014800
 112 1 0.023327800 0.000767235 0.004194940 0.006523770 0.026868200 0.000239804 0.298957000 0.219631000 0.113369000
 113 1 0.035360500 0.000494338 0.005288720 0.049539400 0.024858800 0.011806800 0.330212000 0.279441000 0.164675000
 114 1 0.018493900 0.000670171 0.000587760 0.119760000 0.091134200 0.022896800 0.064461700 0.097510100 0.089094300
 115 1 0.017318000 0.002071340 0.000547707 0.144932000 0.064639000 0.013874400 0.178769000 0.140232000 0.042323600
 116 1 0.020920600 0.001146250 0.005090410 0.103499000 0.014944300 0.000831428 0.239150000 0.231329000 0.175899000
 117 1 0.032171300 0.000642804 0.005020430 0.098463400 0.038503200 0.021182300 0.103621000 0.108267000 0.124832000
 118 1 0.017758500 0.001231390 0.003498810 0.123814000 0.036834800 0.020994200 0.129425000 0.126272000 0.073376300
 119 1 0.023950500 0.001514630 0.001927260 0.110510000 0.013113700 0.014540400 0.232311000 0.102432000 0.043365300
 120 1 0.017508000 0.002056910 0.002541260 0.038223700 0.025105800 0.026448300 0.103777000 0.080524100 0.025605100
 121 1 0.027373100 0.000112261 0.005757710 0.110879000 0.004358380 0.031456900 0.206253000 0.141630000 0.066181900
