dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
   1 1 0.015507100 0.035538500 0.007876880 0.051003500 0.003023060 0.007907080 0.467482000 0.399220000 0.181929000
   2 1 0.026077300 0.008861180 0.003822540 0.068583200 0.006893530 0.004468710 0.567940000 0.476995000 0.326901000
   3 1 0.019275200 0.062873400 0.000639635 0.116752000 0.040939600 0.014334400 0.247917000 0.201376000 0.179396000
   4 1 0.001821880 0.048428700 0.012736900 0.039483900 0.050434200 0.009127710 0.084702500 0.106540000 0.018563500
   5 1 0.007188360 0.015971600 0.011683900 0.023720500 0.027673600 0.003780220 0.388680000 0.366647000 0.131262000
   6 1 0.020166200 0.020973900 0.013231200 0.150042000 0.090110000 0.013433900 0.143901000 0.105229000 0.114997000
   7 1 0.004978510 0.018786800 0.022725900 0.053201900 0.027071700 0.016519600 0.021423000 0.021452200 0.011761200
   8 1 0.050677500 0.002204120 0.018740500 0.061556400 0.041697600 0.009920220 0.149546000 0.064520900 0.095164200
   9 1 0.021132800 0.044804600 0.006253150 0.051517000 0.003120610 0.021510000 0.143001000 0.109211000 0.092239500
  10 1 0.005274790 0.031946900 0.015836600 0.007779160 0.000173831 0.021895400 0.013204600 0.024130800 0.033398300
  11 1 0.003163940 0.008276510 0.014046700 0.015793800 0.013490600 0.018763500 0.449674000 0.365424000 0.231709000
  12 1 0.065655200 0.006873750 0.025022400 0.046587400 0.043850000 0.001650420 0.087856600 0.091113400 0.006143570
  13 1 0.035983500 0.036692500 0.013593800 0.079726500 0.071887200 0.027640200 0.140446000 0.102079000 0.040588700
  14 1 0.007292660 0.023889800 0.013220200 0.062815400 0.058023500 0.026705000 0.142708000 0.094204800 0.026312800
  15 1 0.055908700 0.007946270 0.019388500 0.053018200 0.012768400 0.022532300 0.025652100 0.038867700 0.013916500
  16 1 0.020087000 0.007206680 0.018316600 0.123261000 0.046066200 0.018270100 0.202730000 0.203350000 0.123462000
  17 1 0.022444400 0.007878160 0.015978500 0.193934000 0.094661300 0.028793000 0.029574500 0.037263100 0.003631260
  18 1 0.029470600 0.074363300 0.025935000 0.042332900 0.013179400 0.013902700 0.284372000 0.170325000 0.155384000
  19 1 0.041549300 0.002890400 0.014478600 0.011607300 0.015124500 0.007594460 0.085343400 0.108418000 0.052646600
  20 1 0.067952900 0.007580860 0.019730400 0.025220600 0.008482890 0.002652900 0.013656400 0.068997300 0.082003200
  21 1 0.035924400 0.008849160 0.005679230 0.112676000 0.019554800 0.027527500 0.597001000 0.495973000 0.305523000
  22 1 0.030708400 0.030495800 0.030180100 0.090753700 0.032692400 0.012583900 0.047545500 0.049198500 0.008772730
  23 1 0.036311300 0.020501200 0.007073690 0.071117700 0.035294000 0.029100700 0.157045000 0.154339000 0.010538300
  24 1 0.036458700 0.076645000 0.023747300 0.068994800 0.004067210 0.016670900 0.006663440 0.016395300 0.008820210
  25 1 0.020441500 0.049114300 0.018364500 0.077576600 0.015595500 0.003704930 0.607842000 0.501621000 0.350272000
  26 1 0.020056700 0.029521700 0.010983900 0.015209700 0.011576400 0.000730267 0.104914000 0.084865600 0.025041700
  27 1 0.030259600 0.024501900 0.016273900 0.175999000 0.107104000 0.016445500 0.167845000 0.109908000 0.039997200
  28 1 0.081597100 0.011538300 0.020510700 0.059319600 0.037065300 0.016654600 0.206539000 0.210373000 0.163219000
  29 1 0.026311000 0.016432600 0.010950800 0.103043000 0.031464800 0.009498080 0.036293400 0.057587500 0.020016100
  30 1 0.049709200 0.000967462 0.008792940 0.067036400 0.045366000 0.055252700 0.272721000 0.232106000 0.147720000
  31 1 0.026177700 0.055318300 0.015790500 0.064658300 0.063875100 0.003332170 0.421680000 0.392436000 0.332580000
  32 1 0.044239500 0.010753900 0.017552100 0.049070500 0.061321200 0.033463500 0.260082000 0.261730000 0.159907000
  33 1 0.102361000 0.014360800 0.018726500 0.091169700 0.071747200 0.010438600 0.459988000 0.394752000 0.305155000
  34 1 0.040853300 0.008975120 0.006936900 0.033001300 0.025785700 0.010736200 0.289190000 0.246196000 0.195666000
  35 1 0.024310100 0.016128800 0.004971930 0.099014300 0.075145800 0.008034350 0.001592770 0.017874600 0.027383500
  36 1 0.092123300 0.012729300 0.018896800 0.035827700 0.008632060 0.001671690 0.067413200 0.078338100 0.159144000
  37 1 0.036363500 0.034399900 0.015991900 0.047869300 0.005012970 0.014779500 0.239057000 0.185561000 0.142137000
  38 1 0.056292200 0.011703100 0.012052100 0.068240800 0.047396200 0.012248500 0.067595900 0.066016300 0.047984800
  39 1 0.040368300 0.016966800 0.012701100 0.051150500 0.047146300 0.005744600 0.242892000 0.211453000 0.152621000
  40 1 0.038207100 0.001008380 0.003667030 0.062929400 0.015525400 0.004198950 0.166097000 0.132783000 0.045863500
  41 1 0.031708300 0.049641900 0.011421700 0.117623000 0.046732000 0.032500800 0.592460000 0.549314000 0.396237000
  42 1 0.041650600 0.065978500 0.015392600 0.020140900 0.043670900 0.022075900 0.590870000 0.492908000 0.366011000
  43 1 0.036014400 0.024347500 0.010288800 0.049698200 0.001364730 0.000557911 0.542034000 0.412603000 0.247452000
