dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
   1 1 0.088807700 0.031015000 0.025808300 0.046522700 0.162763000 0.088508600 0.001371740 0.000157685 0.000000000
   2 1 0.019116800 0.038004000 0.005669170 0.967070000 0.603737000 0.288240000 0.001371740 0.000157685 0.000000000
   3 1 0.027734100 0.014922300 0.001234890 0.655726000 0.037735800 0.125346000 0.366478000 0.277073000 0.231753000
   4 1 0.007358680 0.001456720 0.001960080 0.867780000 0.090533400 0.308627000 0.039817400 0.059723600 0.008528590
   5 1 0.014785400 0.017269800 0.000311606 0.078762600 0.144786000 0.011609900 0.129625000 0.056489600 0.089379300
   6 1 0.010913000 0.027410600 0.001151740 0.042418700 0.021285900 0.017257400 0.084912100 0.148852000 0.001423390
   7 1 0.024192500 0.051004500 0.009122760 0.087873600 0.077334000 0.016509800 0.274962000 0.255944000 0.101645000
   8 1 0.004743830 0.001286270 0.000940055 0.179773000 0.046128800 0.050428400 0.308880000 0.204569000 0.249694000
   9 1 0.026243400 0.011762000 0.004787690 0.059953500 0.028953100 0.039519000 0.042365100 0.003894540 0.018979300
  10 1 0.078280800 0.029826300 0.029166800 0.097881800 0.054846200 0.062926300 0.043071700 0.031744100 0.024510000
  11 1 0.002263900 0.022281700 0.001359570 0.101516000 0.069863700 0.054176300 0.380871000 0.499276000 0.266772000
  12 1 0.035284800 0.047894700 0.011964600 0.077721700 0.012119600 0.021699500 0.063400200 0.058864700 0.020767600
  13 1 0.072635700 0.033813200 0.004275810 0.215281000 0.128771000 0.005679190 0.017398200 0.003137220 0.117422000
  14 1 0.016282300 0.001167890 0.012302900 0.159391000 0.068614100 0.060902400 0.297215000 0.302671000 0.032802600
  15 1 0.035244000 0.017703000 0.017514200 0.073373300 0.037813200 0.026223100 0.108176000 0.115126000 0.144997000
  16 1 0.082413200 0.010826500 0.022176400 0.025920200 0.021913200 0.064270400 0.193419000 0.168118000 0.141229000
  17 1 0.057915500 0.018273700 0.021822900 0.119115000 0.043063000 0.016422700 0.107736000 0.072948700 0.013591300
  18 1 0.023964700 0.019879600 0.005239380 0.082207200 0.083740200 0.027451300 0.578948000 0.520600000 0.212482000
  19 1 0.040738800 0.003960110 0.004984960 0.233336000 0.184034000 0.043789900 0.623671000 0.683565000 0.279397000
  20 1 0.042470400 0.011617900 0.006900910 0.143244000 0.123683000 0.076060400 0.060922900 0.032258600 0.090698600
  21 1 0.022292000 0.039651800 0.021125600 0.200899000 0.135428000 0.052284800 0.129843000 0.123120000 0.008287710
  22 1 0.019016600 0.006157490 0.004494720 0.153195000 0.051485000 0.032788500 0.280405000 0.301147000 0.197532000
  23 1 0.007038290 0.013685300 0.003592710 0.158551000 0.092422600 0.087754200 0.417845000 0.202377000 0.273130000
  24 1 0.013638300 0.012596000 0.006760010 0.299884000 0.123447000 0.051579500 0.717307000 0.759473000 0.230135000
  25 1 0.036009600 0.014347700 0.008647710 0.113746000 0.080432400 0.026753900 0.000764564 0.012561400 0.044027600
