dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
   1 1 0.055741000 0.009167310 0.003456500 0.341980000 0.122903000 0.004531370 0.001371740 0.002649300 0.000000000
   2 1 0.002570020 0.020033100 0.003451470 0.256887000 0.040357300 0.037258700 0.097705400 0.108092000 0.543012000
   3 1 0.005731560 0.009262110 0.005594450 0.096527400 0.031776000 0.054335700 1.046630000 1.009880000 0.816725000
   4 1 0.021138900 0.091231900 0.009301140 0.249436000 0.150025000 0.094780600 0.520673000 0.335123000 0.162170000
   5 1 0.007422340 0.029644600 0.009813880 0.132991000 0.032987900 0.023653100 0.092306300 0.070374900 0.265892000
   6 1 0.022744500 0.005682700 0.003450240 0.109456000 0.063327900 0.043656200 0.014069400 0.316116000 0.152975000
   7 1 0.024267000 0.008439890 0.006596330 0.118988000 0.024899300 0.024887200 0.830260000 0.911898000 0.597256000
   8 1 0.032421900 0.029727200 0.011482400 0.054239700 0.100898000 0.022872300 0.540935000 0.711344000 0.428164000
   9 1 0.002780470 0.038766000 0.023970600 0.110626000 0.058998800 0.030243300 0.398978000 0.153360000 0.070844900
  10 1 0.065550300 0.058924200 0.017189400 0.028252000 0.020230400 0.016920300 0.532152000 0.108563000 0.174762000
  11 1 0.025032900 0.033643000 0.007744200 0.084242700 0.042950500 0.030874100 0.504202000 0.201097000 0.190752000
  12 1 0.024209800 0.053847900 0.019483800 0.144736000 0.099398200 0.062828400 0.265362000 0.437879000 0.401519000
  13 1 0.032191600 0.004013930 0.006033180 0.026651800 0.020176100 0.001458790 0.646742000 0.758571000 0.332544000
  14 1 0.032316100 0.026450600 0.012056700 0.030363900 0.041974100 0.031188100 0.329505000 0.516343000 0.397815000
  15 1 0.021642800 0.039672500 0.018383900 0.135250000 0.064302800 0.012549800 0.937534000 0.745938000 0.278086000
  16 1 0.008756700 0.026734100 0.005444130 0.093198700 0.047815200 0.037151600 0.349358000 0.297797000 0.269228000
  17 1 0.012561900 0.011464100 0.000071661 0.062043000 0.021098400 0.006393820 0.879765000 0.806854000 0.340858000
  18 1 0.057678600 0.030720500 0.008195270 0.070206300 0.095037900 0.051492600 0.811010000 0.728368000 0.357001000
  19 1 0.020072200 0.013731100 0.008395760 0.031168000 0.026377100 0.023176300 0.946272000 0.143571000 0.111516000
  20 1 0.048849100 0.009909670 0.018842900 0.026905300 0.000775067 0.004675420 0.374306000 0.280087000 0.065305900
  21 1 0.044208100 0.031904600 0.010300300 0.092923000 0.083919200 0.059100600 0.193096000 0.054120100 0.045073500
  22 1 0.020387300 0.007564800 0.000098082 0.059442500 0.011465100 0.011780500 1.132360000 1.133010000 0.377293000
  23 1 0.023357700 0.041959500 0.006397210 0.184059000 0.098504900 0.017837500 0.033783700 0.247224000 0.014957500
  24 1 0.005303290 0.022102100 0.004452820 0.043343100 0.004687220 0.005537960 0.646486000 0.163383000 0.017664700
  25 1 0.020074500 0.009108820 0.008387580 0.007339230 0.006599760 0.018838600 0.004879290 0.210766000 0.341135000
  26 1 0.013443900 0.007273830 0.003427150 0.198462000 0.107986000 0.042509300 0.217756000 0.415651000 0.297466000
  27 1 0.026389600 0.019235200 0.000920755 0.010241500 0.041427000 0.005087370 1.601780000 0.467984000 0.277420000
  28 1 0.011678800 0.038642100 0.019631200 0.007851660 0.015010500 0.015230600 0.014088000 0.759119000 0.341872000
  29 1 0.045550800 0.001691400 0.004035360 0.183303000 0.086651500 0.062048100 0.159703000 0.693034000 0.254771000
  30 1 0.015583000 0.013789600 0.000079826 0.000109402 0.032435300 0.006759470 0.839018000 0.098372300 0.156738000
  31 1 0.009480810 0.033970600 0.004747600 0.113353000 0.038293200 0.044507100 0.266612000 0.305381000 0.176280000
  32 1 0.004416630 0.009127430 0.013843600 0.086486400 0.061895200 0.021785500 1.147920000 0.573986000 0.227783000
  33 1 0.031146400 0.008133640 0.000031722 0.094353500 0.081397100 0.011264800 0.416935000 0.023804800 0.017982100
  34 1 0.027486500 0.011129400 0.004026320 0.085679900 0.065524600 0.047661800 0.389183000 0.298605000 0.113570000
  35 1 0.009976440 0.016972300 0.023145300 0.180802000 0.089211400 0.027644800 0.564169000 0.300119000 0.176123000
  36 1 0.024593000 0.006104850 0.001297070 0.047369500 0.034693400 0.040645900 0.268220000 0.289602000 0.078359000
  37 1 0.029278200 0.003064350 0.018644200 0.127836000 0.040226300 0.044770600 0.447694000 0.306767000 0.068510000
  38 1 0.009324960 0.015696800 0.000016800 0.027741400 0.008611730 0.001801300 0.870327000 0.736333000 0.426054000
  39 1 0.018714200 0.021611900 0.011130800 0.061379200 0.020656100 0.036725000 1.621570000 0.265922000 0.125370000
  40 1 0.028802000 0.022618100 0.008207680 0.031603400 0.002809370 0.007853040 0.193174000 0.586348000 0.135965000
  41 1 0.005029850 0.001544370 0.014868300 0.074787600 0.030826900 0.008462770 0.174767000 0.248721000 0.133974000
  42 1 0.025567300 0.024914600 0.013798500 0.061771700 0.058207700 0.021434300 0.057733400 0.152216000 0.076887700
  43 1 0.012496000 0.014199700 0.001513180 0.022331200 0.019070800 0.004880380 0.107652000 0.169076000 0.056723400
  44 1 0.053318100 0.038999100 0.004316210 0.042259300 0.038146500 0.019068400 0.213714000 0.154299000 0.024405400
  45 1 0.023264200 0.028791700 0.018908000 0.136029000 0.071047200 0.041336200 0.781861000 0.778046000 0.339749000
  46 1 0.068466100 0.010923200 0.017090000 0.133541000 0.088018200 0.050785700 0.299995000 0.374452000 0.123763000
  47 1 0.094806000 0.026865000 0.026519600 0.120539000 0.069225000 0.008267230 0.642005000 0.103106000 0.098611500
  48 1 0.033144500 0.019591500 0.004153000 0.099194000 0.028129600 0.039756300 0.197684000 0.536940000 0.192303000
  49 1 0.007433470 0.002186640 0.003770970 0.002321540 0.068212200 0.009546540 1.289900000 0.487129000 0.018030500
  50 1 0.042485800 0.013986300 0.013844400 0.010110800 0.000537816 0.004259150 1.659810000 0.406250000 0.060932900
  51 1 0.024507300 0.034830000 0.002736700 0.008812470 0.016809800 0.038332400 1.567180000 0.528294000 0.155205000
  52 1 0.072424600 0.013099700 0.015793200 0.107456000 0.057497300 0.011329600 0.537816000 0.246628000 0.137195000
  53 1 0.047901900 0.000314772 0.004024490 0.062934900 0.041082700 0.009326880 0.553611000 0.415666000 0.205399000
  54 1 0.028946600 0.041230300 0.013302400 0.143514000 0.068772100 0.051897100 0.518316000 0.778790000 0.317883000
  55 1 0.103983000 0.026228900 0.019713800 0.134219000 0.074353500 0.019349300 1.102440000 0.568047000 0.255563000
  56 1 0.019778500 0.021295400 0.014355500 0.046866400 0.012843800 0.005717720 1.313870000 0.197909000 0.180030000
  57 1 0.050858000 0.012902500 0.005827440 0.008371310 0.014930300 0.037183300 1.013060000 0.052597100 0.060627600
  58 1 0.070699200 0.005151110 0.014004600 0.025208000 0.009702490 0.008309900 0.602119000 0.894823000 0.465648000
  59 1 0.020957700 0.010313300 0.000302210 0.012920300 0.038436300 0.018235700 0.684512000 0.929720000 0.410576000
  60 1 0.051364800 0.033137500 0.011447000 0.214562000 0.055400800 0.032520600 1.787420000 0.189024000 0.006402090
  61 1 0.021473900 0.009569610 0.013636700 0.095105000 0.051501900 0.031831400 0.207137000 0.343974000 0.271051000
  62 1 0.040362000 0.006449810 0.005506330 0.070181300 0.060836600 0.007723010 1.456570000 0.545265000 0.269504000
  63 1 0.013197000 0.028919800 0.009573790 0.000549124 0.037914900 0.018262500 1.664660000 0.576324000 0.240013000
  64 1 0.026022400 0.008967980 0.008175370 0.057065500 0.059335500 0.020530600 1.688560000 0.028061000 0.079547700
  65 1 0.053264500 0.007730520 0.006913130 0.073153100 0.060617200 0.010926200 0.033661700 0.166960000 0.007038040
  66 1 0.049932400 0.027285300 0.015660100 0.001239680 0.007186870 0.015914000 0.971013000 0.271514000 0.107722000
  67 1 0.034576100 0.000464005 0.007271000 0.045066800 0.025572600 0.023549300 1.646320000 0.033555600 0.070745400
  68 1 0.038584300 0.025720600 0.013246600 0.099149100 0.048106400 0.022262200 0.509394000 0.098286600 0.003588870
